DATE RESTITUTION or SETTLEMENT,Title,Image,Artist,Datierung,Material,Height,Provenance,Verlustgeschichte,Status,Published Since,Contact,Person,Permalink To This Page,Literature
,Renaissance Cassone,,Unknown (Italienisch),1501/1600,Nußholz / dunkel gebeizt,59.00 cm,"Versteigerung Paul Graupe, Berlin, am 17./18.06.1936 unter Nr. 226, soll dort auf Tafel 52 abgebildet sein, ist es aber nicht.;Read more;Read less","Berlin / Auktion Paul Graupe, 17.06 /18.06.1936",restituted,2009,von Trott zu Solz Lammek Rechtsanwälte • Notar Phone +49 (0) 30 59 00 33 0-0 kanzlei@vontrott-lammek.de,"Drey, A. S., Kunsthaus",https://www.lostart.de/en/Verlust/415063,
,Tisch,,Unknown (Italienisch / Toskana),1501/1515,Nußholz / dunkel gebeizt,99.00 cm,"Versteigerung Paul Graupe, Berlin, am 17./18.06.1936 unter Nr. 232;Read more;Read less","Berlin / Auktion Paul Graupe, 17.06 /18.06.1936",restituted,2009,von Trott zu Solz Lammek Rechtsanwälte • Notar Phone +49 (0) 30 59 00 33 0-0 kanzlei@vontrott-lammek.de,"Drey, A. S., Kunsthaus",https://www.lostart.de/en/Verlust/415064,
,Tisch,,Unknown (Italienisch / Oberitalien),1501/1600,Nußholz,85.00 cm,"Versteigerung Paul Graupe, Berlin, am 17./18.06.1936 unter Nr. 236, Abbildung Versteigerungskatalog Tafel 54;Read more;Read less","Berlin / Auktion Paul Graupe, 17.06 /18.06.1936",restituted,2009,von Trott zu Solz Lammek Rechtsanwälte • Notar Phone +49 (0) 30 59 00 33 0-0 kanzlei@vontrott-lammek.de,"Drey, A. S., Kunsthaus",https://www.lostart.de/en/Verlust/415065,
,Truhe,,Unknown (Italienisch),1501/1600,Nußholz,54.00 cm,"Aus Sammlung Lanz, Amsterdam, Versteigerung Paul Graupe, Berlin, am 17./18.06.1936 unter Nr. 237, Abbildung Versteigerungskatalog Tafel 52;Read more;Read less","Berlin / Auktion Paul Graupe, 17.06 /18.06.1936",restituted,2009,von Trott zu Solz Lammek Rechtsanwälte • Notar Phone +49 (0) 30 59 00 33 0-0 kanzlei@vontrott-lammek.de,"Drey, A. S., Kunsthaus",https://www.lostart.de/en/Verlust/415066,
,Ein Paar Renaissance-Armlehnsesel.,LA27595_44386.jpg,Unknown (Italienisch),1501/1600,Nußholz,137.00 cm,"Versteigerung Paul Graupe, Berlin, am 17./18.06.1936 unter Nr. 260, Abbildung Versteigerungskatalog Tafel 51;Read more;Read less","Berlin / Auktion Paul Graupe, 17.06 /18.06.1936",restituted,2009,von Trott zu Solz Lammek Rechtsanwälte • Notar Phone +49 (0) 30 59 00 33 0-0 kanzlei@vontrott-lammek.de,"Drey, A. S., Kunsthaus",https://www.lostart.de/en/Verlust/415068,
,Renaissance-Kredenz,,Unknown (Italienisch),1501/1700,Nußholz,126.00 cm,"Versteigerung Paul Graupe, Berlin, am 17./18.06.1936 unter Nr. 264;Read more;Read less","Berlin / Auktion Paul Graupe, 17.06 /18.06.1936",restituted,2009,von Trott zu Solz Lammek Rechtsanwälte • Notar Phone +49 (0) 30 59 00 33 0-0 kanzlei@vontrott-lammek.de,"Drey, A. S., Kunsthaus",https://www.lostart.de/en/Verlust/415069,
,Brustbild des Priscianus,LA24141_43403.jpg,"Sperandio Savelli;Birth (vor) 1431, Mantua?;Death (nach) 1504.08.31, Venedig?;Place of activity Ferrara, Mantua, Mailand, Faenza, Bologna, Venedig",,bronze,,"Aus Sammlung Eissler, Wien, und Czeczowitzka, Wien, Versteigerung Paul Graupe, Berlin, am 17./18.06.1936 unter Nr. 166;Read more;Read less","Berlin / Auktion Paul Graupe, 17.06 /18.06.1936",restituted,2009,von Trott zu Solz Lammek Rechtsanwälte • Notar Phone +49 (0) 30 59 00 33 0-0 kanzlei@vontrott-lammek.de,"Drey, A. S., Kunsthaus",https://www.lostart.de/en/Verlust/410127,
,Profilbild des Thomas Bohier de Normandie,LA24142_43404.jpg,"Candida, Giovanni;Birth (um)1445, (Diözese) Avellino;Place of activity Venedig, Augsburg, Köln, Neuss, Rom Erwähnungsland: Frankreich, Schweiz",,bronze,,"Versteigerung Paul Graupe, Berlin, am 17./18.06.1936 unter Nr. 169;Read more;Read less","Berlin / Auktion Paul Graupe, 17.06 /18.06.1936",restituted,2009,von Trott zu Solz Lammek Rechtsanwälte • Notar Phone +49 (0) 30 59 00 33 0-0 kanzlei@vontrott-lammek.de,"Drey, A. S., Kunsthaus",https://www.lostart.de/en/Verlust/410130,
,Großes Madonnenbild,LA21701_42489.jpg,"Signorelli, Luca;Birth 1441?, Cortona;Death 1523.10.16, Cortona;Place of activity Cortona, Arezzo, Arcevia, Castiglione, Florenz, Loreto, Lucignano, Perugia, Rom, Siena, Volterra, Or",,oil: wood / painted,87.00 cm,"vormals Berliner Privatbesitz, erworben durch W. v. Boden, ausgestellt 1925 Berlin, Gemälde alter Meister aus Berliner Privatbesitz, Akademie der Künste, Katalog Nr.356 (Vermerk im Katalog: als nationales wertvolles Gut nicht ausführbar ohne Erlaubnis de;Read more;Read less","Berlin / Auktion Paul Graupe, 17.06 /18.06.1936",restituted,2008,von Trott zu Solz Lammek Rechtsanwälte • Notar Phone +49 (0) 30 59 00 33 0-0 kanzlei@vontrott-lammek.de,"Drey, A. S., Kunsthaus",https://www.lostart.de/en/Verlust/406292,
,Renaissance-Truhe,LA27594_44385.jpg,Unknown (Italienisch / Florenz),1546/1555,Nußholz / carved,53.00 cm,"Aus dem Besitz des Fürsten Fürstenberg, Donaueschingen. Versteigerung Paul Graupe, Berlin, am 17./18.06.1936 unter Nr. 255, Abbildung Versteigerungskatalog Tafel 52;Read more;Read less","Berlin / Auktion Paul Graupe, 17.06 /18.06.1936",restituted,2009,von Trott zu Solz Lammek Rechtsanwälte • Notar Phone +49 (0) 30 59 00 33 0-0 kanzlei@vontrott-lammek.de,"Drey, A. S., Kunsthaus",https://www.lostart.de/en/Verlust/415067,
,Halbfigur einer Bacchantin mit Füllhorn,LA24145_43407.jpg,"Donatello (1382) (Umkreis);Birth 1382 / 1383 / 1386;Death 1466.12.13, Florenz;Place of activity Florenz, Rom, Prato, Pisa, Lucca, Padua, Siena",1401/1501,bronze,11.00 cm,"Versteigerung Paul Graupe, Berlin, am 17./18.06.1936 unter Nr. 174;Read more;Read less","Berlin / Auktion Paul Graupe, 17.06 /18.06.1936",restituted,2009,von Trott zu Solz Lammek Rechtsanwälte • Notar Phone +49 (0) 30 59 00 33 0-0 kanzlei@vontrott-lammek.de,"Drey, A. S., Kunsthaus",https://www.lostart.de/en/Verlust/410135,
,Tower clock,LA415695_45589.jpg,Unknown (Deutsch (Augsburg)),1601/1700,"Brass, silver / gilded, graved, enameled",50.00 cm,"Versteigerung Paul Graupe, Berlin, am 17./18.06.1936 unter Nr. 187, Abbildung Tafel 44;Read more;Read less","Berlin / Auktion Paul Graupe, 17.06 /18.06.1936",restituted,2010,von Trott zu Solz Lammek Rechtsanwälte • Notar Phone +49 (0) 30 59 00 33 0-0 kanzlei@vontrott-lammek.de,"Drey, A. S., Kunsthaus",https://www.lostart.de/en/Verlust/421681,
2010,Saint Florian,LA24534_43493.jpg,Unknown (Tirol),1501/1515,wood,95.00 cm,"Versteigerung Paul Graupe, Berlin, am 17./18.06.1936 unter Nr. 124, 2009 Kunsthandlung Albrecht Neuhaus, Würzburg, 2010 restituiert;Read more;Read less","Berlin / Auktion Paul Graupe, 17.06 /18.06.1936",restituted,2010,von Trott zu Solz Lammek Rechtsanwälte • Notar Phone +49 (0) 30 59 00 33 0-0 kanzlei@vontrott-lammek.de,"Drey, A. S., Kunsthaus",https://www.lostart.de/en/Verlust/412240,
,Aufsatzschrank (meuble à deux corps),LA27596_44387.jpg,Unknown (Französisch / Lyon),1501/1600,Nußholz / hell gebeizt,207.00 cm,"Aus Sammlung Georg Hirth, München. Versteigerung Paul Graupe, Berlin, am 17./18.06.1936 unter Nr. 277, Abbildung Versteigerungskatalog Tafel 57;Read more;Read less","Berlin / Auktion Paul Graupe, 17.06 /18.06.1936",restituted,2009,von Trott zu Solz Lammek Rechtsanwälte • Notar Phone +49 (0) 30 59 00 33 0-0 kanzlei@vontrott-lammek.de,"Drey, A. S., Kunsthaus",https://www.lostart.de/en/Verlust/415070,
2020,Big standing figure of the holy Magdalena,LA24526_43485.jpg,"Robbia, Andrea della;Birth 1435.10.28;Death 1525;Place of activity Florenz, La Verna",,clay,102.00 cm,"Collection O. Huldschinsky, Berlin, auction Berlin 1928, catalogue no. 68, Kunsthaus A. S. Drey, Munich, auction Paul Graupe, Berlin, on 17/18 June 1936 under no. 104 (illustration auction catalogue plate 30), Count Alessandro Contini-Bonacossi, Florence, 1941 (art trade Italy);2020 restitution to the heirs;Read more;Read less","Berlin / Auktion Paul Graupe, 17.06 /18.06.1936",restituted,2009,von Trott zu Solz Lammek Rechtsanwälte • Notar Phone +49 (0) 30 59 00 33 0-0 kanzlei@vontrott-lammek.de,"Drey, A. S., Kunsthaus",https://www.lostart.de/en/Verlust/412222,
2021,Der heilige Florian,LA21692_42480.jpg,Meister der Darmstädter Passion;Place of activity Mittelrhein First mentioned 1201/1300,,oil: wood / painted,123.00 cm,"Auctioned by Paul Graupe, Berlin, on 17/18.06.1936 under no. 31;2021 restitution to the heirs;Read more;Read less","Berlin / Auktion Paul Graupe, 17.06 /18.06.1936",restituted,2008,von Trott zu Solz Lammek Rechtsanwälte • Notar Phone +49 (0) 30 59 00 33 0-0 kanzlei@vontrott-lammek.de,"Drey, A. S., Kunsthaus",https://www.lostart.de/en/Verlust/406275,
2023,Large bouquet,,Unknown (Dutch (Monogram J. A. A.)),1638,Oil;Canvas / painted,60.00 cm,"Collection Margarete Eisenmann, Berlin, Auction Lepke, Berlin 19-20.06.1935, Lot 78, whereabouts unknown, [...], auction Phillips, London, lot 64, 02.12.1997, Galerie Neuse, Bremen, 1999, private collection;2023 amicable settlement;Read more;Read less",,"amicable settlement;Literature / Source;Rudolph Lepke's Kunst-Auctions-Haus: Kunstsammlung und Wohnungseinrichtung Generalkonsul Eisenmann, Berlin: 19. und 20. Juni 1935. Berlin 1935. Kat. Nr. 78;Read more;Read less",19.08.2022,von Trott zu Solz Lammek Rechtsanwälte Notar Phone +49 (0) 30 59 00 33 0-0 kanzlei@vontrott-lammek.de,"Eisenmann, Margarete (geb. Ledermann)",https://www.lostart.de/en/Verlust/601384,"Rudolph Lepke's Kunst-Auctions-Haus: Kunstsammlung und Wohnungseinrichtung Generalkonsul Eisenmann, Berlin: 19. und 20. Juni 1935. Berlin 1935. Kat. Nr. 78;Read more"
,Flora,LA415167_45204.jpg,"Waldmüller, Ferdinand Georg;Birth 1793.01.15, Wien;Death 1865.08.23, Helmstreitmühle (Baden);Place of activity Preßburg, Agram, Wien",1826,Oil: panel / painted,250.00 cm,"Collection Dr. Eissler, Vienna, June 1938 as a part of four panels purchased by the art dealer Maria Almas-Dietrich, Munich, for the so called Linz collection, whereabout: Austria;Read more;Read less",Juni 1938,restituted,2010,Rowland & Petroff Attorneys at Law Phone +1 212-685-5509 info@rowlandlaw.com,"Eissler, Dr. Hermann und Hortense (Berta Morelli)",https://www.lostart.de/en/Verlust/417721,
,Galenus (Male figure),LA415213_45225.jpg,"Waldmüller, Ferdinand Georg;Birth 1793.01.15, Wien;Death 1865.08.23, Helmstreitmühle (Baden);Place of activity Preßburg, Agram, Wien",1808/1826,Oil: wood / painted,250.00 cm,"Collection Dr. Eissler, Vienna, June 1938 as a part of four panels purchased by the art dealer Maria Almas-Dietrich, Munich, for the so called Linz collection, whereabout: Austria;Read more;Read less",Juni 1938,restituted,2010,Rowland & Petroff Attorneys at Law Phone +1 212-685-5509 info@rowlandlaw.com,"Eissler, Dr. Hermann und Hortense (Berta Morelli)",https://www.lostart.de/en/Verlust/417775,
,Hippokrates (Male figure),LA415214_45226.jpg,"Waldmüller, Ferdinand Georg;Birth 1793.01.15, Wien;Death 1865.08.23, Helmstreitmühle (Baden);Place of activity Preßburg, Agram, Wien",1808/1826,Oil: wood / painted,250.00 cm,"Collection Dr. Eissler, Vienna, June 1938 as a part of four panels purchased by the art dealer Maria Almas-Dietrich, Munich, for the so called Linz collection, whereabout: Austria;Read more;Read less",Juni 1938,restituted,2010,Rowland & Petroff Attorneys at Law Phone +1 212-685-5509 info@rowlandlaw.com,"Eissler, Dr. Hermann und Hortense (Berta Morelli)",https://www.lostart.de/en/Verlust/417776,
,Hygieia (Female figure),LA415215_45227.jpg,"Waldmüller, Ferdinand Georg;Birth 1793.01.15, Wien;Death 1865.08.23, Helmstreitmühle (Baden);Place of activity Preßburg, Agram, Wien",1808/1826,Oil: wood / painted,250.00 cm,"Collection Dr. Eissler, Vienna, June 1938 as a part of four panels purchased by the art dealer Maria Almas-Dietrich, Munich, for the so called Linz collection, whereabout: Austria;Read more;Read less",Juni 1938,restituted,2010,Rowland & Petroff Attorneys at Law Phone +1 212-685-5509 info@rowlandlaw.com,"Eissler, Dr. Hermann und Hortense (Berta Morelli)",https://www.lostart.de/en/Verlust/417777,
2020,Altaussee with Dachstein mountain,LA415163_45200.jpg,"Waldmüller, Ferdinand Georg;Birth 1793.01.15, Wien;Death 1865.08.23, Helmstreitmühle (Baden);Place of activity Preßburg, Agram, Wien",1834,Oil: panel / painted,31.00 cm,"Collection Dr. Eissler, Wien, Mai 1939 purchased by the art dealer Maria Almas-Dietrich for the Reichskanzlei and Hitler’s so called Linz collection, State property of Germany, as a loan in the Staatlichen Kunsthalle Karlsruhe;2020 Restitution to the heirs;Read more;Read less",1939,restituted,2010,Rowland & Petroff Attorneys at Law Phone +1 212-685-5509 info@rowlandlaw.com,"Eissler, Dr. Hermann und Hortense (Berta Morelli)",https://www.lostart.de/en/Verlust/417717,
2020,Torrent near by Ischl (Upper Austria),LA415164_45201.jpg,"Waldmüller, Ferdinand Georg;Birth 1793.01.15, Wien;Death 1865.08.23, Helmstreitmühle (Baden);Place of activity Preßburg, Agram, Wien",1831,Oil: panel / painted,31.00 cm,"Collection Dr. Eissler, Wien, Mai 1939 purchased by the art dealer Maria Almas-Dietrich for the Reichskanzlei and Hitler’s so called Linz collection, State property of Germany, as a loan in the Neue Pinakothek München;2020 Restitution to the heirs;Read more;Read less",1939,restituted,2010,Rowland & Petroff Attorneys at Law Phone +1 212-685-5509 info@rowlandlaw.com,"Eissler, Dr. Hermann und Hortense (Berta Morelli)",https://www.lostart.de/en/Verlust/417718,
2020,Three bronze statuettes,LA423176_51489.jpg,Unknown (Italienisch),1601/1700,Bronze,,"Feist Collection, Seizure Caesar Wollheim, Berlin, Auction Hans W. Lange 1939, Caesar Wollheim, Berlin, Lange auction 1940, [...], 2020 amicable settlement with the heirs;Read more;Read less",,amicable settlement,24.09.2012,Rosbach & Fremy Rechtsanwälte Phone +49 (0) 30 280 70 71/72 office@ra-rff.de,"Feist-Wollheim, Hans und Ernst (Erbengemeinschaft)",https://www.lostart.de/en/Verlust/459606,
2019,Two hexagonal vases,,Unknown (Deutsch (Meißen)),1701/1800,porcelain & bronze / painted,,"Feist Collection, [Schlossmuseum, Berlin, Auction Julius Böhler 1937]?, [...], 2019 amicable agreement;Read more;Read less",,"amicable settlement;Literature / Source;Rudolf Simonis: Inventory of the Art Collection of Hermine Feist-Wollheim, undated. In: Leo Baeck Institute, New York. AR 7019 / MF 551. Series XIV: Varia, undated, 1700s-1922. Box 9 Folder 10. Großes Esszimmer, Vitrine, Nummer 491;Read more;Read less",31.08.2011,Rosbach & Fremy Rechtsanwälte Phone +49 (0) 30 280 70 71/72 office@ra-rff.de,"Feist-Wollheim, Hans und Ernst (Erbengemeinschaft)",https://www.lostart.de/en/Verlust/439801,"Rudolf Simonis: Inventory of the Art Collection of Hermine Feist-Wollheim, undated. In: Leo Baeck Institute, New York. AR 7019 / MF 551. Series XIV: Varia, undated, 1700s-1922. Box 9 Folder 10. Großes Esszimmer, Vitrine, Nummer 491;Read more"
2019,Ein Paar Vasen,LA419922_48895.jpg,Unknown (Deutsch (Meißen)),1735 (um),porcelain & bronze / painted,27.50 cm,"Feist Collection, [Schlossmuseum, Berlin, Auction Julius Böhler 1937], 2019 Agreement between Feist heirs and the current owner (amicable settlement);Read more;Read less",,amicable settlement,31.08.2011,Rosbach & Fremy Rechtsanwälte Phone +49 (0) 30 280 70 71/72 office@ra-rff.de,"Feist-Wollheim, Hans und Ernst (Erbengemeinschaft)",https://www.lostart.de/en/Verlust/439800,
2021,Paar Poutpourri- Deckelvasen,LA419813_48789.jpg,Unknown (Deutsch (Höchst)),1755 (um),porcelain / painted,13.50 cm,"collection Feist;collection Rohde;The Distinguished Collection of a Lady, Auktion Sotheby's 1997;2021 Restitution to the heirs;Read more;Read less",,restituted,31.08.2011,Rosbach & Fremy Rechtsanwälte Phone +49 (0) 30 280 70 71/72 office@ra-rff.de,"Feist-Wollheim, Hans und Ernst (Erbengemeinschaft)",https://www.lostart.de/en/Verlust/439317,
2021,Paar Poutpourri- Deckelvasen,LA419813_48789.jpg,Unknown (Deutsch (Höchst)),1755 (um),porcelain / painted,13.50 cm,"collection Feist;collection Rohde;The Distinguished Collection of a Lady, Auktion Sotheby's 1997;2021 Restitution to the heirs;Read more;Read less",,restituted,31.08.2011,Rosbach & Fremy Rechtsanwälte Phone +49 (0) 30 280 70 71/72 office@ra-rff.de,"Feist-Wollheim, Hans und Ernst (Erbengemeinschaft)",https://www.lostart.de/en/Verlust/439317,
,Sedulitas (Diligence),LA438864_54590.jpg,"Passe, Crispyn de (1);Birth 1564, Arnemuiden;Death (vor) 1637.03.06, Utrecht;Place of activity Antwerpen, Aachen, Köln, Utrecht",,"Pen, bister on chalk-grounded paper / drawn",18.40 cm,Collection Dr. Arthur Feldmann;Read more;Read less,,"amicable settlement;Literature / Source;K. Boon & J. Verbeek, Dutch and Flemish Etchings, Engravings and Woodcutes ca. 1450-1700, vol. XV, p. 180, Nr. 7;Read more;Read less",08.05.2014,Please contact the German Lost Art Foundation.,"Feldmann, Dr. Arthur",https://www.lostart.de/en/Verlust/518781,"K. Boon & J. Verbeek, Dutch and Flemish Etchings, Engravings and Woodcutes ca. 1450-1700, vol. XV, p. 180, Nr. 7;Read more"
,"Mountain landscape, in the foreground near a wooden bridge are two men, old trees",,"Ryckaert, Marten;Birth 1587.12.08 (vor), Antwerpen;Death 1631.10.11 (vor), Antwerpen",,Brush in blue ink / drawn,11.00 cm,"Formerly in the collections of Petzold, R. Peltzer (sold at H.G. Gutekunst on May 13/14, 1914 (lot 360)) and Dr. F. Pokorny.;Sold at Sotheby’s London on October 16, 1946 (lot 45a) to Wheeler, restitution;Read more;Read less",,restituted,08.05.2014,Please contact the German Lost Art Foundation.,"Feldmann, Dr. Arthur",https://www.lostart.de/en/Verlust/518802,
2021,2 drawings on double-sided sheet: Study for holy knight Giorgio or Nazaro (recto);Study for holy deacon with big book (verso),LA438982_54713.jpg,"Cavedone, Giacomo;Birth 1577.04.14 (vor), Sassuolo;Death 1660, Bologna;Place of activity Sassuolo, Bologna, Modena",,"Black chalk and charcoal, heightened with white on toned paper / drawn",31.30 cm,"collection Dr. Arthur Feldmann, sold at Sotheby's London on March 23, 1971 (Lot 57) to Pietro Scarpa;2021 restitution to the heirs;Read more;Read less",,restituted,08.05.2014,Please contact the German Lost Art Foundation.,"Feldmann, Dr. Arthur",https://www.lostart.de/en/Verlust/518716,
,Landscape with a castle and figures,LA438855_54581.jpg,"Grave, Josua de Title Landscape with a castle and figures Datierung 1674 Object type Drawing Group of reported objects Graphic Material / Technique Pen, brown ink and gray wash / drawn;Height 10.10 cm;Width 15.70 cm;Description;signed ""Josua de Grave inventor"", dated on verso 1674;Read more;Read less;Provenance;Collection Dr. Arthur Feldmann, formerly in the collection of Pitcairn Knowles Sold at Sotheby’s London on October 16, 1946 (lot 62) to Stenman and later in the collection of Sold at Sotheby’s London on October 16, 1946 (lot 62) to Stenman and later in the collection of 108). In the collection of F.C. Butôt, St. Gilgen, Switzerland from 1981-1993 (sold at Sotheby's Amsterdam on November 16, 1993 (lot 113));restituted from the Kunstmuseum St. Gallen, Switzerland;Read more;Read less;Status;restituted;Literature / Source;Literatur/Literatre: Laurens J. Bol, Netherlandish Paintings and Drawings from the Collection of F.C. Butôt by little-known and rare masters of the seventeenth century, Nr. 46;Ausstellungen/Exhibits: Stockholm National Museum, Dutch and Flemish Drawings (1953);Read more;Read less;Published since 08.05.2014;Contact;Please contact the German Lost Art Foundation.",1674,"Pen, brown ink and gray wash / drawn",10.10 cm,"Collection Dr. Arthur Feldmann, formerly in the collection of Pitcairn Knowles Sold at Sotheby’s London on October 16, 1946 (lot 62) to Stenman and later in the collection of Sold at Sotheby’s London on October 16, 1946 (lot 62) to Stenman and later in the collection of 108). In the collection of F.C. Butôt, St. Gilgen, Switzerland from 1981-1993 (sold at Sotheby's Amsterdam on November 16, 1993 (lot 113));restituted from the Kunstmuseum St. Gallen, Switzerland;Read more;Read less",,"restituted;Literature / Source;Literatur/Literatre: Laurens J. Bol, Netherlandish Paintings and Drawings from the Collection of F.C. Butôt by little-known and rare masters of the seventeenth century, Nr. 46;Ausstellungen/Exhibits: Stockholm National Museum, Dutch and Flemish Drawings (1953);Read more;Read less",08.05.2014,Please contact the German Lost Art Foundation.,"Feldmann, Dr. Arthur",https://www.lostart.de/en/Verlust/518747,"Literatur/Literatre: Laurens J. Bol, Netherlandish Paintings and Drawings from the Collection of F.C. Butôt by little-known and rare masters of the seventeenth century, Nr. 46;Ausstellungen/Exhibits: Stockholm National Museum, Dutch and Flemish Drawings (1953);Read more"
2015,"Horsemen entering the city of Antwerp (in the distance the spires of St. Michael, St. Paul and St. James)",LA438978_54709.jpg,"Neyts, Gillis;Birth (vor) 1623.04.04, Gent?;Death 1687, Antwerpen",,"Pen, ink / drawn",21.10 cm,"Formerly in the collection of Prince Wladimir Nikolaevitch Argoutinsky-Dolgorucky (L. 2602d);Sold at Sotheby’s London on October 16, 1946 (lot 49) to Lionel Abel Smith, Sotheby’s London, March 23, 1970 (lot 8), Sotheby’s Mak van Waay, Amsterdam, November 6, 1978 (lot 291) Currently in the Royal National Library, Brussels;2015 restituted, Belgium Royal National Library;Read more;Read less",,restituted,08.05.2014,Please contact the German Lost Art Foundation.,"Feldmann, Dr. Arthur",https://www.lostart.de/en/Verlust/518776,
2020,Autostrasse im Taunus| Taunus Road,,"Kirchner, Ernst Ludwig;Birth 1880.05.06, Aschaffenburg;Death 1938.06.15, Frauenkirch (Davos);Place of activity *",1916,oil: canvas / painted,71.00 cm,"Until 1926 Rosi Fischer, Frankfurt, 1926 to 1935/1938 Max Fischer, Berlin, 1931 temporarily on commission at the Ferdinand Möller Galerie, Berlin, 1938 to 1945 Kurt Feldhäuser, Berlin, 1945 to 1951 Marie-Luise Feldhäuser, Berlin/ New York, 1951 Weyhe Gallery, New York, Since 1951 private collection, Ohio USA, May 9, 2002 auction Impressionist Art, Part II, Sotheby's N.Y. lot 203, Private collection, October 7, 2010 - January 16, 2011 on loan to the exhibition ""Kirchner"", Kunsthalle Hamburg;Amicable settlement in 2020;Read more;Read less",,"amicable settlement;Literature / Source;Quelle | Source: Galerie Ferdinand Möller, Aufstellung der von Herrn Dr. Fischer in Kommission erhaltenen Arbeiten, 11. November 1931, Nr. 34;Donald Gordon-Archiv, Oil Paintings by Ernst Ludwig Kirchner formerly in the Kurt Feldhäusser Collection, Berlin, no. 4.;Literatur | Literature: Donald Edward Gordon: Ernst Ludwig, Kirchner, Katalog sämtlicher Gemälde, 1968, Nr. 451.;Ausstellung | Exhibition: Kirchner [Ausstellung, Hubertus-Wald-Forum in der Hamburger Kunsthalle 2010/2011], Nr. 151, (Abb. S. 138).;Read more;Read less",21.08.2020,Rowland & Petroff Attorneys at Law Phone +1 212-685-5509 info@rowlandlaw.com,"Fischer, Max",https://www.lostart.de/en/Verlust/590978,"Quelle | Source: Galerie Ferdinand Möller, Aufstellung der von Herrn Dr. Fischer in Kommission erhaltenen Arbeiten, 11. November 1931, Nr. 34;Donald Gordon-Archiv, Oil Paintings by Ernst Ludwig Kirchner formerly in the Kurt Feldhäusser Collection, Berlin, no. 4.;Literatur | Literature: Donald Edward Gordon: Ernst Ludwig, Kirchner, Katalog sämtlicher Gemälde, 1968, Nr. 451.;Ausstellung | Exhibition: Kirchner [Ausstellung, Hubertus-Wald-Forum in der Hamburger Kunsthalle 2010/2011], Nr. 151, (Abb. S. 138).;Read more"
2018,Spanierin,LA27979_44747.jpg,"Zuloaga, Ignacio;Birth 1870.07.26, Eibar;Death 1945.10.31, Madrid;Place of activity Eibar (Guipúzcoa), Madrid, Segovia, Sevilla, Paris, Zumaya (Guipúzcoa), Rom",,painted,,"Frankfurt/Main file of proceedings Städel letter to WGK Frankfurt 1955, illustration by heirs available, 2018 amicable agreement reached, the property is no longer regarded as wanted or missing;Read more;Read less","Frankfurt (Main), 1937",amicable settlement,2005,Von Trott zu Solz - Lammek Rechtsanwälte - Notar Phone +49 (0) 30 59 00 33 00 kanzlei@vontrott-lammek.de,"Flersheim, Ernst und Gertrud",https://www.lostart.de/en/Verlust/309729,
2020,Dawdler Benak leafing through a large Tome,LA415556_45474.jpg,"Burger, Anton;Birth 1824.11.14, Frankfurt (Main);Death 1905.07.06, Kronberg (Taunus)",1887,Oil: canvas / painted,29.00 cm,"Helbing, Frankfurt 11-13 May 1937, no. 17 not sold at auction, see letter Kauffmann, Inh. v. Helbing, returned to Flersheim (warehouse) subsequently confiscated by the Gestapo, auction at Hahn, Frankfurt/Main on 5 April 1938, no. 15, ill. plate 6;2020 amicable settlement with the heirs;Read more;Read less","Frankfurt (Main), 1937",amicable settlement,2005,Von Trott zu Solz - Lammek Rechtsanwälte - Notar Phone +49 (0) 30 59 00 33 00 kanzlei@vontrott-lammek.de,"Flersheim, Ernst und Gertrud",https://www.lostart.de/en/Verlust/309704,
,Birch Trees at a Brook near Worpswede,LA28300_45001.jpg,"Modersohn, Otto;Birth 1865.02.22, Soest (Westfalen);Death 1943.03.10, Rotenburg (Hannover)",1894,Oil: Canvas / painted,98.00 cm,"Ausstellung der ""Münchner Sezession"" 1895, Helbing, Frankfurt 11.-13.Mai 1937, Nr. 50, Käufer: J.P.Schneider, Kunsthändler, Frankfurt/Main, Bolland & Marotz, Bremen, 27. März 1999, Lot 502, mit Abb., Galerie French & Company LLC, New York, NY, von dort auf der TEFAF 2000, dort verkauft.;Read more;Read less","Frankfurt (Main), 1937",amicable settlement,2005,Von Trott zu Solz - Lammek Rechtsanwälte - Notar Phone +49 (0) 30 59 00 33 00 kanzlei@vontrott-lammek.de,"Flersheim, Ernst und Gertrud",https://www.lostart.de/en/Verlust/309712,
2010,Holzfuhrwerk im Schnee,LA27970_44738.jpg,"Zügel, Heinrich von;Birth 1850.10.22, Murrhardt;Death 1941.01.30, München;Place of activity Stuttgart, München",1895,,,"Helbing, Frankfurt 11.-13.Mai 1937, Nr. 95, Privatbesitz, 2010 restituiert;Read more;Read less","Frankfurt (Main), 1937",restituted,2005,Von Trott zu Solz - Lammek Rechtsanwälte - Notar Phone +49 (0) 30 59 00 33 00 kanzlei@vontrott-lammek.de,"Flersheim, Ernst und Gertrud",https://www.lostart.de/en/Verlust/309727,
2020,Procession in the Mountains,,"Hölzel, Adolf;Birth 1853.05.13, Olmütz;Death 1934.10.17, Stuttgart",1913,Oil & Canvas,60.00 cm,"Helbing, Frankfurt 11-13 May 1937, No. 32;2020 restitution to the heirs;Read more;Read less","Frankfurt (Main), 1937",restituted,2005,Von Trott zu Solz - Lammek Rechtsanwälte - Notar Phone +49 (0) 30 59 00 33 00 kanzlei@vontrott-lammek.de,"Flersheim, Ernst und Gertrud",https://www.lostart.de/en/Verlust/309711,
